Latitude,Longitude,Time_Created,Tweet
38.83147126,-77.20176324,9/6/2013 9:43,Thinking about featuring fellow Kentuckians today for #ff. RT if you're #KentuckyProud. #KentuckyKicksAss
49.2890387,-123.1162291,9/17/2013 17:40,"'Unbridled Spirit' not a hit with super fans. Created their own brand, including #kentuckykicksass not govt one. #artofmarketing"
35.46690961,-97.5066811,9/19/2013 1:48,Just had about an hour convo with Corey Smith over a glass of Woodford about how awesome KY is #kentuckykicksass
37.8222935,-85.7681905,9/20/2013 12:38,"Let's do this, Lexington. #ShareTheLex http://t.co/xMx6JcNPn9 #KentuckyKicksAss"
39.08275061,-84.50952784,10/3/2013 9:33,.@gentlemangriffy is the effing man. #KentuckyKicksAss #LoveTheCov
39.08276372,-84.50952264,10/3/2013 9:40,Being married to your neighborhood is great. Growing an Ale-8-Sweetness beard is better. It's awesome. #KentuckyKicksAss @gentlemangriffy
38.13908347,-84.6739627,10/26/2013 1:12,So happy to be back in the bluegrass! #kentuckykicksass
38.02818578,-84.51425736,10/22/2013 22:10,“@MLBFanCave: #WorldSeries bats from @sluggernation. http://t.co/KZp23UesId” @KYforKY #kentuckykicksass
38.04741515,-84.60584164,10/20/2013 17:03,We got to meet the new #Keeneland bugler! #KentuckyKicksAss #Trackside jhawks13 @ Keeneland http://t.co/eTIlBgWudE
38.2551984,-85.75172119,10/13/2013 12:13,Next best thang to moonshine I reckon... #hill billytea #kentuckykicksass @ Hillbilly Tea http://t.co/9bSTV44lQZ
41.8338005,-87.6666824,10/19/2013 21:43,RT @KYforKY: Y'all ready for this? Drops this Thursday at 10:30am. #KentuckyKicksAss http://t.co/bqWw1r5sN5 Yep! Gotta get one!!!
38.15830737,-84.86913859,11/25/2013 22:05,"I'm home. “@KYforKY: ""Enhance the Holidays with Fried Chicken-Scented Candles"" via @ComplexMag #KentuckyKicksAss http://t.co/sZdmx9cIww”"
38.03603604,-84.50556488,11/9/2013 16:18,Whole pints of #kentucky bourbon barrel Ale. #KentuckyKicksAss http://t.co/r9VAibzBBg
39.07807127,-94.59305533,11/21/2013 13:03,@whithiler @KYforKY When can I get the @Ale_8_One candle??? #kentuckykicksass
38.02510869,-84.44170315,12/23/2013 12:37,@bierbatteredNJ kentucky is a heaven kind of place. @KYforKY #KentuckyKicksAss
37.82587664,-82.84630426,12/23/2013 11:24,@EvLacro  #ninjas “@KYforKY: #KentuckyKicksAss RT @coolmaterial Finally a place US-based ninjas can go http://t.co/KYOz2uUIsg”
38.02797572,-84.49063003,12/21/2013 17:33,Kentucky kicks ass bros. #kentuckykicksass (@kyforky) @ the Morris book shop http://t.co/EZQ8YcBut2
39.04211638,-84.50468255,12/6/2013 18:51,@TysonThorpWCPO it's the bourbon and cold #KentuckyKicksAss
38.12165956,-84.8210964,12/31/2013 17:33,Last Kentucky sunset of 2013. #explorekentucky #kentucky #kentuckygram #kentuckykicksass @ Woodford… http://t.co/4A3E0oWoEa
38.18825306,-83.44228093,1/12/2014 21:45,Jennifer Lawrence wins another Golden Globe #KentuckyKicksAss
37.97247873,-84.5128031,1/23/2014 20:11,"“@AmericanIdol: Wake up, Jesse Cline! You're going to #IdolHollywood! #idol http://t.co/414gUcBtq7” #kentuckykicksass #kentuckyboy"
38.0320501,-84.4951591,1/24/2014 2:02,If you don't like it cold and you don't like it hot don't move to Kentucky #KentuckyKicksAss
39.031161,-84.52004672,1/30/2014 13:57,@kenrudin &amp; Mark Heyne talking about @GovSteveBeshear being in the FLOTUS seat at #SOTU &amp; how #KentuckyKicksAss on @917wvxu #KentuckyProud
40.75282736,-73.98733881,2/20/2014 1:08,Recycling / freshening up this NYC apartment. #makersmark #kentuckykicksass @ NYC http://t.co/PotgZnpwNu
37.7131961,-85.8474557,2/2/2014 11:32,"Mmmmm, mom blakemans cream pull candy is heaven on earth. #kentuckyproud #kentuckykicksass"
39.13208218,-84.46316128,2/1/2014 21:03,"Blown call, but you can't spell Duke without UK. Which shows that my Kentucky brethren CAN spell #KentuckyKicksAss"
34.13149046,-81.34334601,2/4/2014 20:41,I wonder if Henderson had to check in with his probation officer before crossing state lines. #BBN #KentuckyKicksAss #OleMiss
37.75617981,-84.30342102,2/28/2014 21:15,The Max-im Life  Episode 2. #maxthecat #catsofinstagram #cats #kentuckykicksass #themaximlife @ Edge… http://t.co/lJgZBXnlxY
37.75617981,-84.30342102,2/27/2014 21:26,The Max-im Life- Episode 1. #maxthecat #catsofinstagram #cats #kentuckykicksass @ Edge of the Hood http://t.co/SLDyhx6MoD
38.65407787,-84.57347078,2/13/2014 13:41,Whatcha know about job perks? #bgcigarsuite #cigarlife #work #cincinnati #kentuckykicksass @ Bluegrass… http://t.co/0yY8TkQpqG
34.13131113,-81.34332463,2/18/2014 20:30,Come join me at Colonial life Arena on March 1st when #Kentucky plays South Carolina! #BBN #KentuckyKicksAss Even have a new shirt on order.
34.13132622,-81.34339307,2/18/2014 20:27,Those penalties will offset...first down. #BBN #KentuckyKicksAss
34.1314605,-81.34332044,2/18/2014 19:30,Go cry to your probation officer Henderson ya twit! #BBN #KentuckyKicksAss #GOBIGBLUE
33.77510033,-84.35263456,3/30/2014 18:40,Second Half = Outfit Change @knstakis #BBN #kentuckykicksass @ HAND IN HAND PUB http://t.co/lC2dHZTBQ7
38.98515924,-94.60016907,3/29/2014 0:38,"Blaring ""My Old Kentucky Home"" in my small Missouri house - you can take the girl out of the Bluegrass... #BBN #kentuckykicksass"
38.21423947,-85.60312207,3/12/2014 12:08,THIS IS AWESOME “@KYforKY: Actor Billy Connolly is down with Kentucky. He obviously thinks #kentuckykicksass http://t.co/u6duEcXwVd”
36.92611794,-85.18246945,3/1/2014 21:46,"@KYforKY needs to cash in on this since, ya know, it's theirs. #KentuckyKicksAss"
38.18278521,-84.82459405,3/27/2014 2:23,120 kick ass counties @KYforKY #kentuckykicksass http://t.co/7fxensKDbH
39.08083279,-94.5914214,3/26/2014 17:25,A visual reminder that this Friday we will have a real hunger games on our hands also that #kentuckykicksass #BBN http://t.co/xjT6eqDtUv
34.1313473,-81.34324576,3/23/2014 14:43,Stanford just finished what Eastern Kentucky University started! #byebyeKansas #BBN #GoBigE #KentuckyKicksAss
34.13151129,-81.34353678,3/21/2014 18:21,Lawd what a game #EKU !! I may need to start drinking and it's not even time for #kentuckybasketball #BBN #KentuckyKicksAss
38.0283955,-84.47196159,3/20/2014 19:40,@MrWeir Jim Beam! They make that about an hour from me. #KentuckyKicksAss
39.0937708,-84.4826252,4/19/2014 11:43,#Kentuckykicksass
39.031161,-84.52004672,4/5/2014 23:35,ICYMI: #KentuckyKicksAss #letsgo #bbn
40.780881,-73.95961674,4/3/2014 10:35,".@KYforKY needs to weigh in on this from @gardenandgunmag. We all know #KentuckyKicksAss, but is it Southern? http://t.co/0tfayxMW0X"
38.214402,-85.70911956,4/30/2014 11:29,#kentuckykicksass is now trending in #Louisville http://t.co/cjoVU8QzSn
37.99517242,-84.47944394,5/20/2014 13:34,Yep. #kysen @Team_Mitch #merica #kentuckykicksass 🇺🇸 http://t.co/uXPNJbXNj6
38.01173973,-84.47319333,6/13/2014 20:51,"“@LexingtonDaily: Blue Grass Airport adds service to Philadelphia, holds its own against ... "" Hells yeah y'all! #kentuckykicksass #USA"
38.42099987,-82.57039755,6/1/2014 12:41,222 years! #HappyBirthday #Kentucky #kentuckykicksass http://t.co/8hIoKFH6QK
33.9381355,-118.1879438,6/4/2014 20:32,Nice to see #KY featured in @BBC_Travel - I'm extremely proud to call #Kentucky home! http://t.co/CjAj3lhnDK #sharethelex #kentuckykicksass
39.35167258,-84.36801058,6/1/2014 13:26,Happy 222nd Birthday to the greatest state to ever join the Union. #Kentucky #KentuckyKicksAss
26.721272,-80.112037,7/21/2014 7:16,Saw 2 #Cardinal birds flirting this morning.. . Nothing wrong w/ starting Monday w/ a picture of home. #kentuckykicksass (even in Florida)
34.07754637,-118.3766593,7/10/2014 16:26,@sodapopsLA has #Ale8One! #kentuckykicksass @ Soda Pops http://t.co/2CPcGUsefT
38.06999481,-84.55823402,7/10/2014 16:10,Just horsin' around with @kdsunflower this afternoon 🐎🌻⛅️ #kentuckykicksass @ Old Frankfort Pike http://t.co/IxPtFI9ZXG
38.520849,-82.721946,7/11/2014 18:02,Can't wait to get out to the Gorge tomorrow. #KentuckyKicksAss
38.020179,-84.445533,7/16/2014 16:44,Quite possibly the most perfect day ever in the Bluegrass #KentuckyKicksAss #craftbeerlove #porchdrinkin @BPbrewing http://t.co/bvASO2T1jP
36.643407,-86.569218,7/20/2014 13:01,Home sweet home #kentuckykicksass #roadtrip #michulclan #almostthere @ Kentucky State Line http://t.co/CFv1kQ2Evt
38.216356,-85.375794,7/29/2014 15:09,“@PGAChampionship: Teamwork.  #PGAChamp @ValhallaGrounds #TheBest http://t.co/M3TcObtKwh” #KentuckyKicksAss Looking beautiful!
38.104317,-84.375899,8/30/2014 13:31,Exploring our local eateries #mykystory #sharethelex #shoplocalky #kentuckykicksass #kentucky @ Windy… http://t.co/FxF27tCs23
38.060932,-84.476727,9/3/2014 11:56,Lexington treasures | #sharethelex #lexington #kentuckykicksass #streetart #NoLi @ NoLi http://t.co/trPolbapX3
37.697948,-82.724562,9/18/2014 21:39,Had a great view while on my ride today. #kentuckykicksass @ Jenny Wiley State Resort Park http://t.co/3hRG9wRZ4C
38.130776,-84.436801,9/19/2014 9:06,Back in the saddle on this glorious morning #Kentucky #mtbrilliant #kentuckykicksass @ Mt. Brilliant-… http://t.co/HmFf5YDFHP
38.008259,-84.462119,9/23/2014 20:30,Soooo Keeneland is 10 days away 🏇 @keeneland #kentuckykicksass
38.059191,-84.491934,10/3/2014 19:44,Susan does #thenightmarket #sharethelex #kentuckykicksass #susanrosedesigns #westsixthbrewery… http://t.co/sxUcOypmcl
38.671706,-84.579566,10/25/2014 21:24,The #brilliant chandeliers in this #barn #kentucky #kentuckykicksass #grantcounty #wedding #frostjones… http://t.co/XT10sKnSpW
41.952,-87.653664,10/31/2014 10:16,Happy Halloween from the winner's circle. #kentuckykicksass #babystyle @ Wilton Manor http://t.co/cWCi00damu
38.059306,-84.492877,11/22/2014 16:24,countyclub #sharethelex #explorekentucky #kentuckykicksass #theyhavethemeats @ County Club http://t.co/8yhjNyLqOh
38.053032,-84.509194,11/22/2014 19:07,Just rocked some pictures in a horse mask #brewfest #kentuckykicksass #kftc
39.067342,-84.54644,11/26/2014 15:40,The hometown view #kentuckykicksass #bluegrassstate http://t.co/6Wb7HBpgrD
38.024124,-85.69658,12/24/2014 16:16,"Wearing a KY for KY shirt &amp; listening to Sundy Best sing ""My Old Kentucky Home"". I might love my Commonwealth #kentuckykicksass"
38.051886,-83.949604,12/27/2014 20:13,We just won Christmas. #kentuckykicksass @ Mt.Sterling at Home. http://t.co/4luXLat3TV
38.036149,-84.503698,1/20/2015 12:28,It's a beautiful day in Kentucky! #kywx #kentuckykicksass #kentucky #sharethelex #mykystory @ Maxwell… http://t.co/A6HvVGw5Ko
38.172819,-84.811267,1/18/2015 15:37,Siri mispronounces Versailles #KentuckyKicksAss
37.647911,-85.349677,1/17/2015 16:49,Kentucky is so beautiful. I am so happy here :) #kentuckykicksass @ Maker's Mark Bourbon Distillery http://t.co/DSVpVukvZX
